ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1421,KADIKÖY,Marmara Veteriner Kliniği,Veteriner,Bahçeler Sk. No:3 FENERYOLU/KADIKÖY,0216 347 49 42,,,0,Yok,FENERYOLU,40.979645135000055,29.05070181700006
1327,FATİH,İstanbul Üniversitesi-Cerrahpaşa Tıp Fakültesi Kulak Burun Boğaz Ana Bilim Dalı,Poliklinik,İÜ Cerrahpaşa Tıp Fakültesi Yolu No: CERRAHPAŞA/FATİH,0212 414 23 59,http://istanbultip.istanbul.edu.tr,Var,60,,CERRAHPAŞA,41.00354611200004,28.94229438600007
2015,TUZLA,Özel Saradent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,İnönü Cad. ŞİFA/TUZLA,0216 423 23 63,www.saradent.com.tr,,,,ŞİFA,40.82681499000006,29.355745385000034
1421,KADIKÖY,Atalay Veteriner Kliniği,Veteriner,Sinan Ercan Cad. No:6 19 MAYIS/KADIKÖY,0216 372 02 62,,,0,Yok,19 MAYIS,40.96939783500005,29.085751581000068
1421,KADIKÖY,Medipol Üniversitesi Hastanesi Kadıköy,Üniversite Hastanesi,Lambacı Sk. No:2/1 KOŞUYOLU/KADIKÖY,0216 544 66 66,www.medipol.com.tr,Var,72,Var,KOŞUYOLU,41.00466311300005,29.034347841000056
1327,FATİH,Fatih 9 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Selim Sabit Sk. MOLLA GÜRANİ/FATİH,0212 523 00 51,,Yok,0,,MOLLA GÜRANİ,41.014479006000045,28.937871827000038
1327,FATİH,Özel Fatih Nur Polikliniği,Poliklinik Özel,Hasan Fehmipaşa Cad. No:39A DERVİŞ ALİ/FATİH,0212 635 03 13,www.nurpoliklinik.com,Yok,0,,DERVİŞ ALİ,41.026209910000034,28.940025348000063
1336,GAZİOSMANPAŞA,Karadeniz Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Menderes Cad. No:20 KARADENİZ/GAZİOSMANPAŞA,0212 477 18 45,,Yok,0,,KARADENİZ,41.08238507900006,28.88256163500006
1708,ÜSKÜDAR,Özel Denteuropa Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Kısıklı Cad. No:25/2 ALTUNİZADE/ÜSKÜDAR,0216 651 71 71,www.denteuropa.com,Yok,0,Yok,ALTUNİZADE,41.02372990600003,29.04231156900005
1327,FATİH,Özel Ultra Emar İleri Görüntüleme ve Tanı Merkezi,Görüntüleme Merkezi Özel,Köprülü Mehmetpaşa Sk. No:19A ŞEHREMİNİ/FATİH,0212 589 57 62 - 0212 529 91 93,www.ultraemar.com.tr,,,,ŞEHREMİNİ,41.01442393000008,28.93348637200006
1103,ADALAR,Adalar 1 Nolu Acil Yardım İstasyonu,Acil Yardım İstasyonu,Gülistan Cad. No:45 MADEN/ADALAR,0216 385 75 49,www.istanbulsaglik.gov.tr,Yok,3,Var,MADEN,40.87467383200004,29.13274603700006
